iter	Passed	Remaining
0	135	67570
1	137	34318
2	140	23272
3	143	17759
4	147	14574
5	149	12338
6	152	10718
7	154	9518
8	159	8692
9	162	7941
10	164	7322
11	167	6793
12	169	6359
13	172	5983
14	175	5662
15	177	5378
16	180	5129
17	184	4942
18	188	4760
19	190	4575
20	192	4399
21	195	4244
22	200	4149
23	202	4022
24	205	3904
25	208	3795
26	212	3727
27	215	3633
28	217	3536
29	220	3459
30	223	3383
31	227	3323
32	229	3253
33	233	3193
34	235	3130
35	240	3094
36	242	3038
37	245	2986
38	248	2933
39	250	2883
40	254	2848
41	257	2807
42	260	2763
43	262	2720
44	265	2685
45	268	2649
46	270	2611
47	273	2577
48	277	2555
49	281	2531
50	283	2496
51	285	2462
52	288	2429
53	291	2404
54	294	2378
55	296	2351
56	299	2327
57	302	2305
58	307	2299
59	310	2273
60	312	2246
61	314	2219
62	316	2194
63	321	2187
64	323	2162
65	325	2139
66	327	2118
67	330	2096
68	334	2088
69	336	2069
70	339	2048
71	341	2028
72	343	2008
73	347	2000
74	349	1983
75	352	1965
76	354	1947
77	356	1929
78	360	1920
79	362	1903
80	364	1885
81	366	1868
82	368	1852
83	370	1836
84	374	1827
85	376	1812
86	378	1796
87	380	1781
88	382	1767
89	384	1753
90	389	1749
91	391	1735
92	393	1721
93	395	1707
94	397	1695
95	400	1685
96	403	1676
97	405	1663
98	407	1651
99	410	1642
100	412	1629
101	417	1629
102	419	1617
103	421	1606
104	424	1596
105	426	1585
106	431	1583
107	433	1572
108	435	1561
109	437	1551
110	439	1539
111	442	1534
112	445	1526
113	447	1515
114	450	1506
115	452	1496
116	454	1487
117	458	1483
118	460	1474
119	462	1465
120	465	1456
121	467	1447
122	470	1442
123	473	1434
124	475	1426
125	477	1417
126	479	1409
127	481	1400
128	485	1397
129	488	1389
130	490	1380
131	492	1372
132	494	1363
133	496	1356
134	499	1349
135	501	1342
136	503	1334
137	505	1326
138	507	1318
139	511	1314
140	514	1308
141	515	1300
142	517	1292
143	520	1285
144	521	1277
145	526	1277
146	528	1269
147	530	1262
148	532	1255
149	534	1247
150	536	1240
151	538	1233
152	540	1226
153	542	1219
154	544	1212
155	546	1206
156	550	1203
157	552	1196
158	555	1190
159	557	1184
160	559	1177
161	561	1171
162	563	1166
163	566	1159
164	568	1153
165	569	1146
166	571	1140
167	574	1134
168	576	1129
169	578	1123
170	580	1117
171	582	1111
172	584	1105
173	588	1103
174	590	1097
175	593	1091
176	594	1085
177	597	1080
178	599	1074
179	603	1073
180	605	1067
181	607	1061
182	610	1056
183	611	1051
184	615	1047
185	617	1042
186	619	1037
187	621	1031
188	624	1027
189	626	1022
190	629	1018
191	631	1013
192	634	1008
193	636	1003
194	638	998
195	641	995
196	643	989
197	645	984
198	647	979
199	649	974
200	651	969
201	655	967
202	657	962
203	660	958
204	662	953
205	664	948
206	668	946
207	671	942
208	673	937
209	675	932
210	678	928
211	681	926
212	684	922
213	686	917
214	688	912
215	690	908
216	692	903
217	695	899
218	697	894
219	699	890
220	701	885
221	703	881
222	707	878
223	709	874
224	711	870
225	714	865
226	715	861
227	717	856
228	722	854
229	724	850
230	726	845
231	728	841
232	730	836
233	732	832
234	738	832
235	740	828
236	742	824
237	745	820
238	750	819
239	752	815
240	754	811
241	756	807
242	759	803
243	762	800
244	765	796
245	767	792
246	769	787
247	771	783
248	773	780
249	778	778
250	780	773
251	782	769
252	784	765
253	786	761
254	788	757
255	791	754
256	793	750
257	795	745
258	797	742
259	799	737
260	803	735
261	805	731
262	807	727
263	810	724
264	812	720
265	814	716
266	819	715
267	822	711
268	824	707
269	826	703
270	828	700
271	832	697
272	834	693
273	836	690
274	838	686
275	843	684
276	845	680
277	847	677
278	850	673
279	852	669
280	854	665
281	857	662
282	859	659
283	862	655
284	864	651
285	868	649
286	870	646
287	872	642
288	875	638
289	877	635
290	883	634
291	885	630
292	887	626
293	889	623
294	891	619
295	897	618
296	899	615
297	902	611
298	904	608
299	907	605
300	910	601
301	912	598
302	914	594
303	916	591
304	919	587
305	923	585
306	925	581
307	927	578
308	929	574
309	931	571
310	933	567
311	936	564
312	938	560
313	940	556
314	941	553
315	943	549
316	948	547
317	950	544
318	952	540
319	954	537
320	957	533
321	960	531
322	962	527
323	964	523
324	966	520
325	968	517
326	970	513
327	974	510
328	976	507
329	978	503
330	980	500
331	982	497
332	984	493
333	987	491
334	989	487
335	991	484
336	993	480
337	995	477
338	997	473
339	1001	471
340	1003	467
341	1005	464
342	1007	460
343	1009	457
344	1010	454
345	1014	451
346	1016	448
347	1018	444
348	1019	441
349	1021	437
350	1023	434
351	1027	431
352	1029	428
353	1031	425
354	1033	422
355	1036	419
356	1039	416
357	1042	413
358	1044	410
359	1046	406
360	1048	403
361	1050	400
362	1053	397
363	1056	394
364	1058	391
365	1060	388
366	1062	385
367	1064	381
368	1067	379
369	1070	375
370	1071	372
371	1073	369
372	1075	366
373	1077	363
374	1080	360
375	1083	357
376	1085	354
377	1087	350
378	1089	347
379	1091	344
380	1094	341
381	1096	338
382	1097	335
383	1110	335
384	1114	332
385	1116	329
386	1118	326
387	1120	323
388	1122	320
389	1137	320
390	1138	317
391	1141	314
392	1143	311
393	1145	308
394	1147	304
395	1150	302
396	1152	299
397	1154	295
398	1156	292
399	1159	289
400	1160	286
401	1163	283
402	1166	280
403	1169	277
404	1171	274
405	1172	271
406	1175	268
407	1178	265
408	1180	262
409	1183	259
410	1185	256
411	1188	253
412	1192	251
413	1195	248
414	1197	245
415	1199	242
416	1201	239
417	1205	236
418	1208	233
419	1210	230
420	1212	227
421	1214	224
422	1217	221
423	1220	218
424	1223	215
425	1226	213
426	1228	210
427	1231	207
428	1233	204
429	1235	201
430	1237	198
431	1239	195
432	1242	192
433	1245	189
434	1247	186
435	1249	183
436	1251	180
437	1253	177
438	1256	174
439	1258	171
440	1260	168
441	1262	165
442	1264	162
443	1265	159
444	1269	156
445	1271	153
446	1273	151
447	1275	148
448	1277	145
449	1279	142
450	1283	139
451	1285	136
452	1287	133
453	1289	130
454	1293	127
455	1295	125
456	1297	122
457	1299	119
458	1301	116
459	1303	113
460	1307	110
461	1309	107
462	1311	104
463	1313	101
464	1315	99
465	1317	96
466	1321	93
467	1323	90
468	1324	87
469	1326	84
470	1328	81
471	1330	78
472	1334	76
473	1336	73
474	1338	70
475	1340	67
476	1342	64
477	1344	61
478	1347	59
479	1349	56
480	1385	54
481	1445	53
482	1448	50
483	1460	48
484	1463	45
485	1472	42
486	1475	39
487	1477	36
488	1484	33
489	1486	30
490	1488	27
491	1490	24
492	1492	21
493	1495	18
494	1498	15
495	1500	12
496	1503	9
497	1507	6
498	1509	3
499	1511	0
